model,distance_bucket_m,occlusion_condition,n_frames,precision,recall,f1,mean_pixel_error,occluded_side_false_positive_rate,mean_latency_s
singlestage_sahi_v1,0.8,left_occluded,6,0.25,0.2,0.222,0.73,0.429,4.0835
singlestage_sahi_v1,0.8,right_occluded,6,0.667,1.0,0.8,1.8,0.5,4.0701
singlestage_sahi_v1,0.8,unknown,15,1.0,0.821,0.902,2.78,0.0,4.1005
singlestage_sahi_v1,1.2,left_occluded,6,,0.0,,,0.0,4.0634
singlestage_sahi_v1,1.2,right_occluded,6,1.0,0.2,0.333,3.61,0.0,4.065
singlestage_sahi_v1,1.2,unknown,15,1.0,0.5,0.667,3.05,0.0,4.0439
singlestage_sahi_v1,1.5,left_occluded,12,0.0,0.0,,,0.364,4.0545
singlestage_sahi_v1,1.5,right_occluded,12,,0.0,,,0.0,4.5747
singlestage_sahi_v1,1.5,unknown,35,1.0,0.483,0.651,2.15,0.0,4.0782
singlestage_sahi_v1,2,left_occluded,6,1.0,0.167,0.286,2.63,0.0,4.0623
singlestage_sahi_v1,2,right_occluded,6,0.0,0.0,,,0.167,4.0644
singlestage_sahi_v1,2,unknown,15,1.0,0.043,0.083,1.92,0.0,4.0515
singlestage_sahi_v2_cascade,0.8,left_occluded,6,0.625,1.0,0.769,1.76,0.429,6.4038
singlestage_sahi_v2_cascade,0.8,right_occluded,6,0.6,1.0,0.75,1.4,0.667,6.3664
singlestage_sahi_v2_cascade,0.8,unknown,15,0.964,0.964,0.964,2.83,0.0,1.9684
singlestage_sahi_v2_cascade,1.2,left_occluded,6,0.0,0.0,,,0.167,8.3007
singlestage_sahi_v2_cascade,1.2,right_occluded,6,0.75,0.3,0.429,3.95,0.0,8.3808
singlestage_sahi_v2_cascade,1.2,unknown,15,0.875,0.636,0.737,3.38,0.25,8.5483
singlestage_sahi_v2_cascade,1.5,left_occluded,12,0.182,0.154,0.167,2.52,0.727,8.1771
singlestage_sahi_v2_cascade,1.5,right_occluded,12,0.5,0.267,0.348,2.78,0.444,9.3589
singlestage_sahi_v2_cascade,1.5,unknown,35,0.778,0.483,0.596,2.38,0.333,6.775
singlestage_sahi_v2_cascade,2,left_occluded,6,0.25,0.167,0.2,3.64,0.5,8.4212
singlestage_sahi_v2_cascade,2,right_occluded,6,0.0,0.0,,,0.5,8.5899
singlestage_sahi_v2_cascade,2,unknown,15,1.0,0.304,0.467,3.46,0.0,8.4322
tfake_landmark,0.8,left_occluded,6,0.0,0.0,,,0.429,0.1482
tfake_landmark,0.8,right_occluded,6,0.0,0.0,,,0.5,0.1597
tfake_landmark,0.8,unknown,15,0.8,0.857,0.828,4.63,1.0,0.1871
tfake_landmark,1.2,left_occluded,6,,0.0,,,0.0,0.1098
tfake_landmark,1.2,right_occluded,6,1.0,0.8,0.889,3.75,0.0,0.1608
tfake_landmark,1.2,unknown,15,0.633,0.864,0.731,3.38,1.0,0.194
tfake_landmark,1.5,left_occluded,12,,0.0,,,0.0,0.1108
tfake_landmark,1.5,right_occluded,12,0.0,0.0,,,0.333,0.1402
tfake_landmark,1.5,unknown,35,0.743,0.897,0.812,3.08,1.0,0.1923
tfake_landmark,2,left_occluded,6,,0.0,,,0.0,0.1128
tfake_landmark,2,right_occluded,6,,0.0,,,0.0,0.0984
tfake_landmark,2,unknown,15,0.792,0.826,0.809,2.95,0.571,0.1768
twostage_adaptivezoom,0.8,left_occluded,6,1.0,1.0,1.0,1.02,0.0,0.4778
twostage_adaptivezoom,0.8,right_occluded,6,0.667,1.0,0.8,1.51,0.5,0.5039
twostage_adaptivezoom,0.8,unknown,15,1.0,0.929,0.963,2.9,0.0,0.4594
twostage_adaptivezoom,1.2,left_occluded,6,,0.0,,,0.0,0.4962
twostage_adaptivezoom,1.2,right_occluded,6,1.0,0.6,0.75,3.49,0.0,0.4747
twostage_adaptivezoom,1.2,unknown,15,0.929,0.591,0.722,3.39,0.125,0.4987
twostage_adaptivezoom,1.5,left_occluded,12,0.75,0.231,0.353,1.45,0.091,0.4565
twostage_adaptivezoom,1.5,right_occluded,12,1.0,0.333,0.5,3.51,0.0,0.5026
twostage_adaptivezoom,1.5,unknown,35,0.957,0.776,0.857,2.54,0.083,0.4866
twostage_adaptivezoom,2,left_occluded,6,,0.0,,,0.0,0.4741
twostage_adaptivezoom,2,right_occluded,6,,0.0,,,0.0,0.4738
twostage_adaptivezoom,2,unknown,15,1.0,0.174,0.296,1.94,0.0,0.4537
twostage_fixedzoom,0.8,left_occluded,6,1.0,1.0,1.0,1.24,0.0,0.4687
twostage_fixedzoom,0.8,right_occluded,6,0.667,1.0,0.8,1.6,0.5,0.5073
twostage_fixedzoom,0.8,unknown,15,1.0,0.964,0.982,2.78,0.0,0.4812
twostage_fixedzoom,1.2,left_occluded,6,1.0,0.167,0.286,0.8,0.0,0.4982
twostage_fixedzoom,1.2,right_occluded,6,1.0,0.5,0.667,3.27,0.0,0.4657
twostage_fixedzoom,1.2,unknown,15,0.923,0.545,0.686,3.32,0.125,0.506
twostage_fixedzoom,1.5,left_occluded,12,1.0,0.154,0.267,1.81,0.0,0.4638
twostage_fixedzoom,1.5,right_occluded,12,,0.0,,,0.0,0.5022
twostage_fixedzoom,1.5,unknown,35,1.0,0.655,0.792,2.49,0.0,0.4888
twostage_fixedzoom,2,left_occluded,6,,0.0,,,0.0,0.4483
twostage_fixedzoom,2,right_occluded,6,,0.0,,,0.0,0.4976
twostage_fixedzoom,2,unknown,15,,0.0,,,0.0,0.4803
