model,image,outcome,left_conf,right_conf,too_far,latency_s,annotated_path
singlestage_sahi_v1,alice_0.8m_left_occluded_turn_left_01_0022.png,none,0.0,0.0,False,4.10945,
singlestage_sahi_v2_cascade,alice_0.8m_left_occluded_turn_left_01_0022.png,none,0.0,0.0,False,8.95805,
twostage_fixedzoom,alice_0.8m_left_occluded_turn_left_01_0022.png,face_only,0.0,0.0,False,0.65687,sweep_out/twostage_fixedzoom/face_only_no_canthus/alice_0.8m_left_occluded_turn_left_01_0022__face_only.png
twostage_adaptivezoom,alice_0.8m_left_occluded_turn_left_01_0022.png,face_only,0.0,0.0,False,0.63964,sweep_out/twostage_adaptivezoom/face_only_no_canthus/alice_0.8m_left_occluded_turn_left_01_0022__face_only.png
tfake_landmark,alice_0.8m_left_occluded_turn_left_01_0022.png,none,0.0,0.0,False,0.11406,
singlestage_sahi_v1,alice_0.8m_left_occluded_turn_left_02_0023.png,none,0.0,0.0,False,4.03957,
singlestage_sahi_v2_cascade,alice_0.8m_left_occluded_turn_left_02_0023.png,none,0.0,0.0,False,8.51381,
twostage_fixedzoom,alice_0.8m_left_occluded_turn_left_02_0023.png,face_only,0.0,0.0,False,0.57996,sweep_out/twostage_fixedzoom/face_only_no_canthus/alice_0.8m_left_occluded_turn_left_02_0023__face_only.png
twostage_adaptivezoom,alice_0.8m_left_occluded_turn_left_02_0023.png,face_only,0.0,0.0,False,0.52786,sweep_out/twostage_adaptivezoom/face_only_no_canthus/alice_0.8m_left_occluded_turn_left_02_0023__face_only.png
tfake_landmark,alice_0.8m_left_occluded_turn_left_02_0023.png,none,0.0,0.0,False,0.12761,
singlestage_sahi_v1,alice_0.8m_left_occluded_turn_left_03_0024.png,none,0.0,0.0,False,4.06429,
singlestage_sahi_v2_cascade,alice_0.8m_left_occluded_turn_left_03_0024.png,none,0.0,0.0,False,7.9639,
twostage_fixedzoom,alice_0.8m_left_occluded_turn_left_03_0024.png,face_only,0.0,0.0,False,0.50412,sweep_out/twostage_fixedzoom/face_only_no_canthus/alice_0.8m_left_occluded_turn_left_03_0024__face_only.png
twostage_adaptivezoom,alice_0.8m_left_occluded_turn_left_03_0024.png,face_only,0.0,0.0,False,0.44902,sweep_out/twostage_adaptivezoom/face_only_no_canthus/alice_0.8m_left_occluded_turn_left_03_0024__face_only.png
tfake_landmark,alice_0.8m_left_occluded_turn_left_03_0024.png,none,0.0,0.0,False,0.11686,
singlestage_sahi_v1,alice_0.8m_left_occluded_turn_right_01_0016.png,none,0.0,0.0,False,4.22711,
singlestage_sahi_v2_cascade,alice_0.8m_left_occluded_turn_right_01_0016.png,none,0.0,0.0,False,8.39069,
twostage_fixedzoom,alice_0.8m_left_occluded_turn_right_01_0016.png,none,0.0,0.0,False,0.31666,
twostage_adaptivezoom,alice_0.8m_left_occluded_turn_right_01_0016.png,none,0.0,0.0,False,0.38799,
tfake_landmark,alice_0.8m_left_occluded_turn_right_01_0016.png,none,0.0,0.0,False,0.1218,
singlestage_sahi_v1,alice_0.8m_left_occluded_turn_right_02_0017.png,none,0.0,0.0,False,4.07082,
singlestage_sahi_v2_cascade,alice_0.8m_left_occluded_turn_right_02_0017.png,left_only,0.2741,0.0,False,8.17313,sweep_out/singlestage_sahi_v2_cascade/annotated/alice_0.8m_left_occluded_turn_right_02_0017__left_only.png
twostage_fixedzoom,alice_0.8m_left_occluded_turn_right_02_0017.png,none,0.0,0.0,False,0.31197,
twostage_adaptivezoom,alice_0.8m_left_occluded_turn_right_02_0017.png,none,0.0,0.0,False,0.31058,
tfake_landmark,alice_0.8m_left_occluded_turn_right_02_0017.png,none,0.0,0.0,False,0.10769,
singlestage_sahi_v1,alice_0.8m_left_occluded_turn_right_03_0018.png,none,0.0,0.0,False,4.01589,
singlestage_sahi_v2_cascade,alice_0.8m_left_occluded_turn_right_03_0018.png,none,0.0,0.0,False,9.01293,
twostage_fixedzoom,alice_0.8m_left_occluded_turn_right_03_0018.png,none,0.0,0.0,False,0.37774,
twostage_adaptivezoom,alice_0.8m_left_occluded_turn_right_03_0018.png,none,0.0,0.0,False,0.31908,
tfake_landmark,alice_0.8m_left_occluded_turn_right_03_0018.png,none,0.0,0.0,False,0.14563,
singlestage_sahi_v1,alice_0.8m_near_left_01_0007.png,none,0.0,0.0,False,4.11604,
singlestage_sahi_v2_cascade,alice_0.8m_near_left_01_0007.png,none,0.0,0.0,False,8.61688,
twostage_fixedzoom,alice_0.8m_near_left_01_0007.png,none,0.0,0.0,False,0.31585,
